name,glass,metal,paper,plastic,plastic-bag,barcode
e)제비표에이드애플그린340ml,,,,,1,
e)제비표에이드레몬340ml,,,,,1,
e)제비표에이드복숭아340ml,,,,,1,
e)하루이리터2L*6(클린),,,,1,,
e)에너지워터블루레몬500ml(new),,,,1,,
e)아메리카노헤이즐넛향340ml,,,,,1,
e)아메리카노스위트340ml,,,,,1,
e)아메리카노블랙340ml,,,,,1,
e)소프트워터청포도500ml(new),,,,1,,
e)소프트워터복숭아500ml(new),,,,1,,
아임이)신선함을그대로복숭아500mL,,,,1,,
아임이)신선함을그대로복숭아1.5L,,,,1,,
e)이프레소빅아이스컵230g,,,,1,,
e)이프레소아이스컵180g,,,,1,,
e)초코칩아이스크림660ml,,,,1,,
e)이천쌀컵280ml,,,,,1,
e)5F파르페초코320ml,,,,1,,
e)이천쌀콘150ml,,,,,1,
e)그대로과일바(딸기),,,,,1,
e)그대로과일바(배),,,,,1,
e)아임이2+1항균초극세모칫솔,,,,1,,
e)맛있는군밤80g(S),,,,,1,
e)아임이크루통시리얼570g,,,,,1,
e)아임이 민생짜장봉지면*5입,,,,,1,
e)아임이 민생짜장봉지면,,,,,1,
e)스파클링워터 피치오렌지500ml,,,,1,,
e)스파클링워터 베리메들리500ml,,,,1,,
e)달고나라떼250ml,,,,1,,
e)달고나밀크티250ml,,,,1,,
e)빠다포테이토링100g,,,,,1,
민생도시락김5g,,,,1,1,
민생2+3바나나(5입/720g),,,,,1,
민생휴대용티슈70매*3입,,,,,1,
민생한아름물티슈(캡형)200매,,,,1,1,
민생맑은물티슈(캡형)100매,,,,1,1,
민생3겹화장지27*30롤,,,1,,1,
민생3겹화장지40*12롤,,,1,,1,
민생미용티슈250매*3입,,,1,,,
민생미용티슈250매*6입(미니),,,1,,,
민생미세먼지블랙마스크KF94(10입),,,1,,1,
맛녀석김치제육주먹밥,,,,,1,
맛녀석베이컨참치마요주먹밥,,,,,1,
맛녀석에그듬뿍치아바타샌드,,,,,1,
빅통살치킨버거,,,,,1,
스팸김치하트밥,,,,1,,
치킨마요하트밥,,,,1,,
더빅반숙란장조림삼각김밥,,,,,1,
불닭치킨마요삼각김밥,,,,,1,
콘치즈닭갈비볶음삼각김밥,,,,,1,
매콤돈까스삼각김밥,,,,,1,
돌아온간장버터계란삼각김밥,,,,,1,
매콤오리불고기삼각김밥,,,,,1,
하와이안칠리크랩샌드,,,,1,,
새콤달콤초계샌드위치,,,,1,,
뉴반반고구마닭강정,,,,1,,
더블갈떡,,,,1,,
깐풍치킨,,,,1,,
유부초밥세트(대왕불고기&새콤유부),,,,1,,
유부초밥세트(대왕연어&새콤유부),,,,1,,
간장불고기덮밥,,,,1,,
